Shooter,Goalie,Shooter_Year,Goalie_Year
Dylan Larkin,Cam Ward,2016,2016
Dylan Larkin,Cam Ward,2016,2016
Jordan Staal,Petr Mrazek,2016,2016
Victor Rask,Petr Mrazek,2016,2016
Andreas Athanasiou,Cam Ward,2016,2016
Brett Ritchie,Michael Hutchinson,2016,2016
Patrick Eaves,Michael Hutchinson,2016,2016
Joel Armia,Antti Niemi,2016,2016
Tyler Seguin,Michael Hutchinson,2016,2016
Mark Scheifele,Antti Niemi,2016,2016
Ryan Dzingel,Ryan Miller,2016,2016
Ryan Dzingel,Ryan Miller,2016,2016
Paul Byron,Thomas Greiss,2016,2016
John Tavares,Al Montoya,2016,2016
Phillip Danault,Thomas Greiss,2016,2016
Dennis Seidenberg,Al Montoya,2016,2016
Shea Weber,Thomas Greiss,2016,2016
Joe Pavelski,Jonathan Bernier,2016,2016
Chris Wagner,Martin Jones,2016,2016
Marc-Edouard Vlasic,John Gibson,2016,2016
Brandon Saad,Peter Budaj,2016,2016
Anze Kopitar,Sergei Bobrovsky,2016,2016
Cam Atkinson,Peter Budaj,2016,2016
Drew Doughty,Sergei Bobrovsky,2016,2016
Alec Martinez,Sergei Bobrovsky,2016,2016
David Pastrnak,Henrik Lundqvist,2016,2016
Austin Czarnik,Henrik Lundqvist,2016,2016
Rick Nash,Zane McIntyre,2016,2016
Kevin Hayes,Zane McIntyre,2016,2016
Brandon Pirri,Zane McIntyre,2016,2016
Brandon Pirri,Zane McIntyre,2016,2016
Jimmy Vesey,Zane McIntyre,2016,2016
Joel Eriksson Ek,Anders Nilsson,2016,2016
Jason Zucker,Anders Nilsson,2016,2016
Ryan Suter,Anders Nilsson,2016,2016
Benoit Pouliot,Braden Holtby,2016,2016
Benoit Pouliot,Braden Holtby,2016,2016
Alex Ovechkin,Cam Talbot,2016,2016
Patrick Maroon,Braden Holtby,2016,2016
Milan Lucic,Braden Holtby,2016,2016
Jamie McGinn,Steve Mason,2016,2016
Oliver Ekman-Larsson,Steve Mason,2016,2016
Nick Cousins,Louis Domingue,2016,2016
Brayden Schenn,Louis Domingue,2016,2016
Martin Hanzal,Steve Mason,2016,2016
Brad Richardson,Steve Mason,2016,2016
Andrew MacDonald,Louis Domingue,2016,2016
Ryan White,Steve Mason,2016,2016
Wayne Simmonds,Louis Domingue,2016,2016
Nick Ritchie,Pekka Rinne,2016,2016
Jakob Silfverberg,Pekka Rinne,2016,2016
Jakob Silfverberg,Pekka Rinne,2016,2016
Corey Perry,Pekka Rinne,2016,2016
Andrew Cogliano,Marek Mazanec,2016,2016
Ryan Kesler,Marek Mazanec,2016,2016
Colin Wilson,John Gibson,2016,2016
Alex Killorn,Carey Price,2016,2016
Alex Galchenyuk,Ben Bishop,2016,2016
Max Pacioretty,Ben Bishop,2016,2016
Patric Hornqvist,Jaroslav Halak,2016,2016
Travis Hamonic,Marc-Andre Fleury,2016,2016
Evgeni Malkin,Jaroslav Halak,2016,2016
Shane Prince,Marc-Andre Fleury,2016,2016
Sidney Crosby,Jaroslav Halak,2016,2016
Phil Kessel,Jaroslav Halak,2016,2016
